Names	experiment Cy3	experiment Cy5
GSM1106550_6925_raw.txt.gz	ref	msh6
GSM1106881_296_raw.txt.gz	ubc11	ref
GSM1106880_1766_raw.txt.gz	ref	tye7
GSM1106887_2969_raw.txt.gz	ubi4	ref
GSM1106886_428_raw.txt.gz	ref	ubc5
GSM1106885_419_raw.txt.gz	ubc5	ref
GSM1106884_302_raw.txt.gz	ref	ubc12
GSM1106559_8269_raw.txt.gz	ref	nab6
GSM1106558_5597_raw.txt.gz	ref	mvb12
GSM1106889_4376_raw.txt.gz	ubp11	ref
GSM1106888_2975_raw.txt.gz	ref	ubi4
GSM1106959_5460_raw.txt.gz	ref	ydl089w
GSM1106958_5451_raw.txt.gz	ydl089w	ref
GSM1106955_8299_raw.txt.gz	ref	ybr271w
GSM1106954_9283_raw.txt.gz	ref	ybr225w
GSM1106957_8138_raw.txt.gz	ycr016w	ref
GSM1106956_6453_raw.txt.gz	ybt1	ref
GSM1106951_272_raw.txt.gz	ref	ybr062c
GSM1106950_267_raw.txt.gz	ybr062c	ref
GSM1106953_7959_raw.txt.gz	ybr225w	ref
GSM1106952_7151_raw.txt.gz	ref	ybr141c
GSM1106775_7566_raw.txt.gz	shu1	ref
GSM1106774_8381_raw.txt.gz	she2	ref
GSM1106777_6308_raw.txt.gz	sip3	ref
GSM1106776_8230_raw.txt.gz	ref	sim1
GSM1106771_6966_raw.txt.gz	ref	sfg1
GSM1106770_5513_raw.txt.gz	ref	sfb2
GSM1106773_7562_raw.txt.gz	sgt2	ref
GSM1106772_6893_raw.txt.gz	ref	sgn1
GSM636622_2853_raw.txt.gz	ref	swd3
GSM1107775_8982_raw.txt.gz	sro9	ref
GSM1106779_245_raw.txt.gz	siz1	ref
GSM1106778_6299_raw.txt.gz	ref	sip3
GSM636421_7316_raw.txt.gz	hir2	ref
GSM630164.txt.gz	ref	ime2
GSM630165.txt.gz	ire1	ref
GSM630166.txt.gz	ref	ire1
GSM630167.txt.gz	kcc4	ref
GSM630160.txt.gz	ref	hsl1
GSM630161.txt.gz	iks1	ref
GSM630162.txt.gz	ref	iks1
GSM630163.txt.gz	ime2	ref
GSM630168.txt.gz	ref	kcc4
GSM630169.txt.gz	kin1	ref
GSM1106179_2989_raw.txt.gz	ref	atg5
GSM1106178_2983_raw.txt.gz	atg5	ref
GSM1106177_11274_raw.txt.gz	ref	atg4
GSM1106176_11268_raw.txt.gz	atg4	ref
GSM1106175_9710_raw.txt.gz	ref	atg31
GSM1106174_9698_raw.txt.gz	atg31	ref
GSM1106173_426_raw.txt.gz	ref	atg3
GSM1106172_417_raw.txt.gz	atg3	ref
GSM1106171_9671_raw.txt.gz	atg29	ref
GSM1106170_9688_raw.txt.gz	ref	atg27
GSM1106379_6482_raw.txt.gz	ref	grx2
GSM1106378_6476_raw.txt.gz	grx2	ref
GSM1106371_1433_raw.txt.gz	gis2	ref
GSM1106370_3937_raw.txt.gz	ref	gga1
GSM1106373_3364_raw.txt.gz	gis3	ref
GSM1106372_1439_raw.txt.gz	ref	gis2
GSM1106375_6456_raw.txt.gz	glt1	ref
GSM1106374_3369_raw.txt.gz	ref	gis3
GSM1106377_6469_raw.txt.gz	ref	grh1
GSM1106376_6606_raw.txt.gz	gpt2	ref
GSM1107985_7132_raw.txt.gz	ref	ylh47
GSM1107984_8467_raw.txt.gz	ylh47	ref
GSM1107987_6263_raw.txt.gz	ref	ylr278c
GSM1107174_261_raw.txt.gz	ref	chf1
GSM1107175_7614_raw.txt.gz	ref	chl1
GSM1107176_8791_raw.txt.gz	chl1	ref
GSM1107177_8597_raw.txt.gz	ref	cho2
GSM1107170_8444_raw.txt.gz	ref	cgr1
GSM1107171_6310_raw.txt.gz	ref	cha4
GSM1107172_8553_raw.txt.gz	cha4	ref
GSM1107173_256_raw.txt.gz	chf1	ref
GSM1107981_8440_raw.txt.gz	ref	yjl206c
GSM1107178_9260_raw.txt.gz	ref	cho2
GSM1107179_10386_raw.txt.gz	cin5	ref
GSM1107980_7575_raw.txt.gz	yjl206c	ref
GSM630507.txt.gz	yak1	ref
GSM1107983_7150_raw.txt.gz	ref	ykr023w
GSM1107982_7834_raw.txt.gz	ykr023w	ref
GSM630508.txt.gz	ref	yak1
GSM1107624_8498_raw.txt.gz	ref	rad54
GSM1107625_8523_raw.txt.gz	rad55	ref
GSM1107626_8048_raw.txt.gz	ref	rad55
GSM1107627_7348_raw.txt.gz	rad57	ref
GSM1107620_9282_raw.txt.gz	rad50	ref
GSM1107621_7836_raw.txt.gz	rad52	ref
GSM1107622_7247_raw.txt.gz	ref	rad52
GSM1107778_9526_raw.txt.gz	ssf1	ref
GSM1107779_9500_raw.txt.gz	ref	ssf1
GSM1107776_11641_raw.txt.gz	srp40	ref
GSM1107777_11651_raw.txt.gz	ref	srp40
GSM1107774_8347_raw.txt.gz	ref	sro9
GSM1107623_8129_raw.txt.gz	rad54	ref
GSM1107772_3975_raw.txt.gz	srn2	ref
GSM1107773_3981_raw.txt.gz	ref	srn2
GSM1107770_5681_raw.txt.gz	spt4	ref
GSM1107771_5518_raw.txt.gz	ref	spt4
GSM630348.txt.gz	ref	tpk1
GSM630344.txt.gz	ref	tor1
GSM630345.txt.gz	tos3	ref
GSM630346.txt.gz	ref	tos3
GSM630347.txt.gz	tpk1	ref
GSM630340.txt.gz	ref	swe1
GSM630341.txt.gz	tel1	ref
GSM630342.txt.gz	ref	tel1
GSM630343.txt.gz	tor1	ref
GSM630188.txt.gz	ref	kss1
GSM630189.txt.gz	lcb4	ref
GSM630182.txt.gz	ref	kns1
GSM630183.txt.gz	ksp1	ref
GSM630180.txt.gz	ref	kkq8
GSM630181.txt.gz	kns1	ref
GSM630187.txt.gz	kss1	ref
GSM630184.txt.gz	ref	ksp1
GSM1107592_2758_raw.txt.gz	ref	psy2
GSM1107593_3930_raw.txt.gz	pth2	ref
GSM1107590_4055_raw.txt.gz	ref	pre9
GSM1107591_2753_raw.txt.gz	psy2	ref
GSM1107596_9447_raw.txt.gz	ref	puf3
GSM1107597_8242_raw.txt.gz	puf4	ref
GSM1107594_3936_raw.txt.gz	ref	pth2
GSM1107595_7908_raw.txt.gz	puf3	ref
GSM1107598_9015_raw.txt.gz	ref	puf4
GSM1107599_9245_raw.txt.gz	puf6	ref
GSM1107602_7473_raw.txt.gz	ref	pus1
GSM1107603_8146_raw.txt.gz	pus7	ref
GSM1107600_9253_raw.txt.gz	ref	puf6
GSM1107601_8259_raw.txt.gz	pus1	ref
GSM1107358_7685_raw.txt.gz	ref	ino2
GSM1107359_6110_raw.txt.gz	ino4	ref
GSM1107604_8584_raw.txt.gz	ref	pus7
GSM1107605_7147_raw.txt.gz	pus9	ref
GSM1107354_4204_raw.txt.gz	ref	iki1
GSM1107355_10381_raw.txt.gz	iki3	ref
GSM1107356_10392_raw.txt.gz	ref	iki3
GSM1107357_6317_raw.txt.gz	ino2	ref
GSM1107350_5613_raw.txt.gz	ref	hse1
GSM1107351_8377_raw.txt.gz	hur1	ref
GSM1107352_9018_raw.txt.gz	ref	hur1
GSM1107353_4199_raw.txt.gz	iki1	ref
GSM630230.txt.gz	ref	pph21
GSM630231.txt.gz	pph22	ref
GSM630232.txt.gz	ref	pph22
GSM630233.txt.gz	pph3	ref
GSM630234.txt.gz	ref	pph3
GSM630235.txt.gz	ppq1	ref
GSM630236.txt.gz	ref	ppq1
GSM630237.txt.gz	pps1	ref
GSM630238.txt.gz	ref	pps1
GSM630239.txt.gz	ppt1	ref
GSM819557_1756_raw.txt.gz	hap4	ref
GSM1107288_10425_raw.txt.gz	ref	est3
GSM1107289_6479_raw.txt.gz	eug1	ref
GSM1107286_7628_raw.txt.gz	ref	est1
GSM1107287_10413_raw.txt.gz	est3	ref
GSM1107284_5624_raw.txt.gz	ref	esc2
GSM1107285_8411_raw.txt.gz	est1	ref
GSM1107282_7916_raw.txt.gz	ref	erg2
GSM1107283_5618_raw.txt.gz	esc2	ref
GSM1107280_4010_raw.txt.gz	ref	elp6
GSM1107281_8604_raw.txt.gz	erg2	ref
GSM1106832_6644_raw.txt.gz	stp4	ref
GSM1106833_6653_raw.txt.gz	ref	sut1
GSM1106522_5173_raw.txt.gz	mip6	ref
GSM1106523_5179_raw.txt.gz	ref	mip6
GSM1106836_6471_raw.txt.gz	ref	swh1
GSM1106525_8971_raw.txt.gz	mlh1	ref
GSM1107916_10391_raw.txt.gz	ref	utp30
GSM1107917_6549_raw.txt.gz	vac8	ref
GSM1107914_3425_raw.txt.gz	ref	usa1
GSM1107915_10461_raw.txt.gz	utp30	ref
GSM1107912_5678_raw.txt.gz	ref	urn1
GSM1106526_7344_raw.txt.gz	mlh2	ref
GSM1107910_4008_raw.txt.gz	ref	urm1
GSM1107911_5672_raw.txt.gz	urn1	ref
GSM1106835_11615_raw.txt.gz	ref	sut2
GSM1107918_6441_raw.txt.gz	ref	vac8
GSM1107919_9674_raw.txt.gz	vam3	ref
GSM1107828_5171_raw.txt.gz	thp2	ref
GSM1107829_5177_raw.txt.gz	ref	thp2
GSM1107822_10354_raw.txt.gz	tfb5	ref
GSM1107823_10367_raw.txt.gz	ref	tfb5
GSM1107820_6736_raw.txt.gz	tec1	ref
GSM1107821_7693_raw.txt.gz	ref	tec1
GSM1107826_8067_raw.txt.gz	thp1	ref
GSM1107827_8101_raw.txt.gz	ref	thp1
GSM1107824_8260_raw.txt.gz	tgs1	ref
GSM1107825_7474_raw.txt.gz	ref	tgs1
GSM1107800_7554_raw.txt.gz	stp3	ref
GSM1106410_218_raw.txt.gz	hrd1	ref
GSM1106411_223_raw.txt.gz	ref	hrd1
GSM1106412_3418_raw.txt.gz	hrd3	ref
GSM1106413_3424_raw.txt.gz	ref	hrd3
GSM1106414_8222_raw.txt.gz	ref	hrq1
GSM1106415_4012_raw.txt.gz	hrt3	ref
GSM1106416_3429_raw.txt.gz	ref	hrt3
GSM1106417_7537_raw.txt.gz	hsm3	ref
GSM1106418_5477_raw.txt.gz	hsn1	ref
GSM1106419_5483_raw.txt.gz	ref	hsn1
GSM636348_2851_raw.txt.gz	bre2	ref
GSM636349_2854_raw.txt.gz	ref	bre2
GSM636346_193_raw.txt.gz	bre1	ref
GSM636347_199_raw.txt.gz	ref	bre1
GSM636344_9542_raw.txt.gz	ash1	ref
GSM636345_9554_raw.txt.gz	ref	ash1
GSM636342_8312_raw.txt.gz	ref	asf1
GSM636343_8978_raw.txt.gz	asf1	ref
GSM636340_8608_raw.txt.gz	arp8	ref
GSM636341_7929_raw.txt.gz	ref	arp8
GSM636588_8603_raw.txt.gz	snf2	ref
GSM636589_7904_raw.txt.gz	ref	snf2
GSM636584_6182_raw.txt.gz	snf11	ref
GSM636585_6192_raw.txt.gz	ref	snf11
GSM636586_6628_raw.txt.gz	snf12	ref
GSM636587_7816_raw.txt.gz	ref	snf12
GSM636580_5197_raw.txt.gz	sir3	ref
GSM636581_5205_raw.txt.gz	ref	sir3
GSM636582_5198_raw.txt.gz	sir4	ref
GSM636583_5206_raw.txt.gz	ref	sir4
GSM1107644_6626_raw.txt.gz	ref	rif1
GSM1106564_8241_raw.txt.gz	nca2	ref
GSM1106565_9446_raw.txt.gz	ref	ncl1
GSM1106566_8280_raw.txt.gz	ref	nde1
GSM1106567_6840_raw.txt.gz	ndj1	ref
GSM1106560_8988_raw.txt.gz	nab6	ref
GSM1106561_2956_raw.txt.gz	nas6	ref
GSM1106562_2962_raw.txt.gz	ref	nas6
GSM1106563_6853_raw.txt.gz	ref	nat4
GSM1106568_6340_raw.txt.gz	ref	ndt80
GSM1106569_8389_raw.txt.gz	nej1	ref
GSM1106960_7574_raw.txt.gz	ydr026c	ref
GSM1106961_5543_raw.txt.gz	ydr034w	ref
GSM1106962_5549_raw.txt.gz	ref	ydr034w
GSM1106963_7675_raw.txt.gz	ydr049w	ref
GSM1106964_6322_raw.txt.gz	ref	ydr049w
GSM1106965_8237_raw.txt.gz	ref	ydr063w
GSM1106966_8998_raw.txt.gz	ref	ydr063w
GSM1106967_2632_raw.txt.gz	ydr131c	ref
GSM1106968_2638_raw.txt.gz	ref	ydr131c
GSM1106969_7635_raw.txt.gz	ydr370c	ref
GSM1106748_8249_raw.txt.gz	rsf1	ref
GSM1106749_6145_raw.txt.gz	rsf2	ref
GSM1106740_6837_raw.txt.gz	rpo41	ref
GSM1106741_7890_raw.txt.gz	rpo41	ref
GSM1106742_2967_raw.txt.gz	rri1	ref
GSM1106743_2973_raw.txt.gz	ref	rri1
GSM1106744_4051_raw.txt.gz	rri2	ref
GSM1106745_4057_raw.txt.gz	ref	rri2
GSM1106746_7245_raw.txt.gz	ref	rrt14
GSM1106747_8167_raw.txt.gz	ref	rsa3
GSM1107930_4302_raw.txt.gz	ref	vps16
GSM1106988_1374_raw.txt.gz	ref	yhr032w
GSM1106989_8239_raw.txt.gz	ref	yhr087w
GSM630299.txt.gz	sat4	ref
GSM1107931_3942_raw.txt.gz	vps24	ref
GSM1106982_6887_raw.txt.gz	ygr250c	ref
GSM1106983_3230_raw.txt.gz	ygr283c	ref
GSM1106980_7131_raw.txt.gz	ref	ygr021w
GSM1106981_6680_raw.txt.gz	ygr067c	ref
GSM1106986_7556_raw.txt.gz	ref	yhp1
GSM1106987_1370_raw.txt.gz	yhr032w	ref
GSM1106984_3236_raw.txt.gz	ref	ygr283c
GSM1106985_6449_raw.txt.gz	ref	yhb1
GSM1107933_4030_raw.txt.gz	vps25	ref
GSM1107934_5631_raw.txt.gz	ref	vps25
GSM1107640_9284_raw.txt.gz	ref	rgp1
GSM1107935_5581_raw.txt.gz	vps27	ref
GSM1107936_5587_raw.txt.gz	ref	vps27
GSM1107937_3976_raw.txt.gz	vps28	ref
GSM1107641_6607_raw.txt.gz	ric1	ref
GSM1106182_2718_raw.txt.gz	atg7	ref
GSM1106183_2724_raw.txt.gz	ref	atg7
GSM1106180_9672_raw.txt.gz	atg6	ref
GSM1106181_9684_raw.txt.gz	ref	atg6
GSM1106186_9700_raw.txt.gz	atg9	ref
GSM1106187_9712_raw.txt.gz	ref	atg9
GSM1106184_2979_raw.txt.gz	atg8	ref
GSM1106185_2985_raw.txt.gz	ref	atg8
GSM1106188_6857_raw.txt.gz	bck2	ref
GSM1106189_8485_raw.txt.gz	ref	bck2
GSM1106348_6871_raw.txt.gz	fpr4	ref
GSM1106349_7863_raw.txt.gz	fun30	ref
GSM1106344_8318_raw.txt.gz	fks3	ref
GSM1106345_6461_raw.txt.gz	flc2	ref
GSM1106346_8043_raw.txt.gz	fob1	ref
GSM1106347_6854_raw.txt.gz	ref	fpr3
GSM1106340_5617_raw.txt.gz	fir1	ref
GSM1106341_5623_raw.txt.gz	ref	fir1
GSM1106342_6735_raw.txt.gz	fkh2	ref
GSM1106343_8939_raw.txt.gz	ref	fkh2
GSM630539.txt.gz	ypk2	ref
GSM630538.txt.gz	ref	ypk1
GSM630533.txt.gz	ymr291w	ref
GSM630532.txt.gz	ref	ylr253w
GSM630531.txt.gz	ylr253w	ref
GSM630530.txt.gz	ref	ykl171w
GSM630537.txt.gz	ypk1	ref
GSM630536.txt.gz	ref	ynr047w
GSM630535.txt.gz	ynr047w	ref
GSM630534.txt.gz	ref	ymr291w
GSM819516_4649_raw.txt.gz	asc1	ref
GSM819517_1312_raw.txt.gz	bcy1	ref
GSM819514_1519_raw.txt.gz	ref	adr1
GSM819515_3367_raw.txt.gz	ref	asc1
GSM819513_1447_raw.txt.gz	adr1	ref
GSM819518_1314_raw.txt.gz	ref	bcy1
GSM819519_3094_raw.txt.gz	cap	ref
GSM1107769_7802_raw.txt.gz	ref	spt23
GSM1107768_6926_raw.txt.gz	spt23	ref
GSM1107765_11614_raw.txt.gz	ref	spt2
GSM1107764_11602_raw.txt.gz	spt2	ref
GSM1107767_6965_raw.txt.gz	ref	spt21
GSM1107766_7707_raw.txt.gz	spt21	ref
GSM1107761_7935_raw.txt.gz	snt309	ref
GSM1107760_8626_raw.txt.gz	ref	snt309
GSM1107763_3451_raw.txt.gz	ref	spo7
GSM1107762_3448_raw.txt.gz	spo7	ref
GSM1107169_7622_raw.txt.gz	cgr1	ref
GSM1107168_5505_raw.txt.gz	ref	cgi121
GSM1107163_8288_raw.txt.gz	cdc40	ref
GSM1107162_3463_raw.txt.gz	ref	cdc26
GSM1107161_3462_raw.txt.gz	cdc26	ref
GSM1107160_8983_raw.txt.gz	cce1	ref
GSM1107167_4853_raw.txt.gz	cgi121	ref
GSM1107166_1182_raw.txt.gz	ref	cdh1
GSM1107165_1174_raw.txt.gz	cdh1	ref
GSM1107164_9290_raw.txt.gz	ref	cdc40
GSM1107581_3951_raw.txt.gz	poc4	ref
GSM1107580_8436_raw.txt.gz	ref	pms1
GSM1107583_7804_raw.txt.gz	pog1	ref
GSM1107582_3957_raw.txt.gz	ref	poc4
GSM1107585_6880_raw.txt.gz	pol32	ref
GSM1107584_6673_raw.txt.gz	ref	pog1
GSM1107587_8410_raw.txt.gz	ppr1	ref
GSM1107586_7854_raw.txt.gz	ref	pol32
GSM1107589_4049_raw.txt.gz	pre9	ref
GSM1107588_7577_raw.txt.gz	ref	ppr1
GSM1107343_6917_raw.txt.gz	hos3	ref
GSM1107342_10079_raw.txt.gz	ref	hom2
GSM1107341_10071_raw.txt.gz	hom2	ref
GSM1107340_8438_raw.txt.gz	ref	hnt3
GSM1107347_4053_raw.txt.gz	hsc82	ref
GSM1107346_993_raw.txt.gz	ref	hpa1
GSM1107345_987_raw.txt.gz	hpa1	ref
GSM1107344_8943_raw.txt.gz	ref	hos3
GSM1107619_7350_raw.txt.gz	ref	rad50
GSM1107618_202_raw.txt.gz	ref	rad5
GSM1107349_5607_raw.txt.gz	hse1	ref
GSM1107348_4059_raw.txt.gz	ref	hsc82
GSM819542_2766_raw.txt.gz	ref	gpg1
GSM630245.txt.gz	prk1	ref
GSM630244.txt.gz	ref	ppz2
GSM630247.txt.gz	prr1	ref
GSM630246.txt.gz	ref	prk1
GSM630241.txt.gz	ppz1	ref
GSM630240.txt.gz	ref	ppt1
GSM630243.txt.gz	ppz2	ref
GSM630242.txt.gz	ref	ppz1
GSM630249.txt.gz	prr2	ref
GSM630248.txt.gz	ref	prr1
GSM1107299_10067_raw.txt.gz	fmp38	ref
GSM1107298_8979_raw.txt.gz	fks1	ref
GSM1107295_7703_raw.txt.gz	fkh1	ref
GSM1107294_8238_raw.txt.gz	ref	fin1
GSM1107297_8317_raw.txt.gz	ref	fks1
GSM1107296_6654_raw.txt.gz	ref	fkh1
GSM1107291_8032_raw.txt.gz	exo1	ref
GSM1107290_6485_raw.txt.gz	ref	eug1
GSM1107293_9528_raw.txt.gz	fin1	ref
GSM1107292_8507_raw.txt.gz	ref	exo1
GSM1107742_2932_raw.txt.gz	skn7	ref
GSM1107905_10360_raw.txt.gz	urc2	ref
GSM1107904_6191_raw.txt.gz	ref	ura7
GSM1107907_5596_raw.txt.gz	ure2	ref
GSM1107906_10372_raw.txt.gz	ref	urc2
GSM1107901_7964_raw.txt.gz	upf3	ref
GSM1107900_312_raw.txt.gz	ref	ufd4
GSM1107903_6180_raw.txt.gz	ura7	ref
GSM1107902_8502_raw.txt.gz	ref	upf3
GSM1107909_4002_raw.txt.gz	urm1	ref
GSM1107908_5602_raw.txt.gz	ref	ure2
GSM1107839_10726_raw.txt.gz	tlc1	ref
GSM1107838_9002_raw.txt.gz	ref	tip41
GSM1107831_356_raw.txt.gz	ref	thr1
GSM1107830_348_raw.txt.gz	thr1	ref
GSM1107833_10077_raw.txt.gz	ref	thr4
GSM1107832_10069_raw.txt.gz	thr4	ref
GSM1107835_6859_raw.txt.gz	tif4631	ref
GSM1107834_8388_raw.txt.gz	tif2	ref
GSM1107837_8366_raw.txt.gz	tip41	ref
GSM1107836_7851_raw.txt.gz	ref	tif4631
GSM1106407_7636_raw.txt.gz	hpr5	ref
GSM1106406_8420_raw.txt.gz	hpa3	ref
GSM1106405_997_raw.txt.gz	ref	hpa2
GSM1106404_991_raw.txt.gz	hpa2	ref
GSM1106403_7591_raw.txt.gz	ref	hot1
GSM1106402_9041_raw.txt.gz	ref	hop2
GSM1106401_9065_raw.txt.gz	hop2	ref
GSM1106400_6565_raw.txt.gz	ref	hop1
GSM1108009_10251_raw.txt.gz	zap1	ref
GSM1108012_7671_raw.txt.gz	ref	zwf1
GSM1106409_5493_raw.txt.gz	ref	hrb1
GSM1106408_5487_raw.txt.gz	hrb1	ref
GSM636373_9281_raw.txt.gz	ref	cpr1
GSM636372_7361_raw.txt.gz	cpr1	ref
GSM636371_7564_raw.txt.gz	chz1	ref
GSM636370_859_raw.txt.gz	ref	chd1
GSM636377_2735_raw.txt.gz	ref	ctr9
GSM1108010_10262_raw.txt.gz	ref	zap1
GSM636375_9054_raw.txt.gz	cti6	ref
GSM636374_6967_raw.txt.gz	ref	cti6
GSM636379_7823_raw.txt.gz	ref	dep1
GSM1108011_6562_raw.txt.gz	zwf1	ref
GSM636571_545_raw.txt.gz	shg1	ref
GSM636570_2167_raw.txt.gz	ref	sgf73
GSM636573_5443_raw.txt.gz	ref	sif2
GSM636572_5441_raw.txt.gz	sif2	ref
GSM636575_7927_raw.txt.gz	ref	sin3
GSM636574_8606_raw.txt.gz	sin3	ref
GSM1108008_7849_raw.txt.gz	ref	yta7
GSM636576_8479_raw.txt.gz	sir1	ref
GSM636579_4702_raw.txt.gz	ref	sir2
GSM636578_4697_raw.txt.gz	sir2	ref
GSM636621_2849_raw.txt.gz	swd3	ref
GSM636620_2852_raw.txt.gz	ref	swd1
GSM636623_9182_raw.txt.gz	swi3	ref
GSM1106579_7569_raw.txt.gz	ref	nop16
GSM1106578_8221_raw.txt.gz	ref	nop13
GSM1106573_8330_raw.txt.gz	ref	ngr1
GSM1106572_8370_raw.txt.gz	ngl3	ref
GSM1106571_7631_raw.txt.gz	ref	ngl2
GSM1106570_8782_raw.txt.gz	ngl1	ref
GSM1106577_8974_raw.txt.gz	nnf2	ref
GSM1106576_7579_raw.txt.gz	ref	nnf2
GSM1106575_8375_raw.txt.gz	ref	nmd4
GSM1106574_8044_raw.txt.gz	nkp1	ref
GSM636627_3121_raw.txt.gz	ref	swr1
GSM636626_3120_raw.txt.gz	swr1	ref
GSM1106977_6114_raw.txt.gz	ref	yfl052w
GSM1106976_6105_raw.txt.gz	yfl052w	ref
GSM1106975_7580_raw.txt.gz	ref	yer184c
GSM1106974_7153_raw.txt.gz	ref	yer137c
GSM1106973_6655_raw.txt.gz	ref	yer130c
GSM1106972_9046_raw.txt.gz	yel043w	ref
GSM1106971_7544_raw.txt.gz	ref	yel043w
GSM1106970_7152_raw.txt.gz	ref	ydr514c
GSM636489_2838_raw.txt.gz	ref	med31
GSM636488_2837_raw.txt.gz	med31	ref
GSM1106979_6452_raw.txt.gz	ygl082w	ref
GSM1106978_7128_raw.txt.gz	yfr032c	ref
GSM1106759_2631_raw.txt.gz	saf1	ref
GSM1106758_3046_raw.txt.gz	ref	rup1
GSM1106757_3041_raw.txt.gz	rup1	ref
GSM1106756_7298_raw.txt.gz	ref	rub1
GSM1106755_7292_raw.txt.gz	rub1	ref
GSM1106754_5216_raw.txt.gz	ref	rts3
GSM1106753_5211_raw.txt.gz	rts3	ref
GSM1106752_8889_raw.txt.gz	ref	rtr2
GSM1106751_8349_raw.txt.gz	rsr1	ref
GSM1106750_6158_raw.txt.gz	ref	rsf2
GSM1106999_4298_raw.txt.gz	ykl027w	ref
GSM1106998_8976_raw.txt.gz	yjr096w	ref
GSM1106991_1152_raw.txt.gz	yhr202w	ref
GSM1106990_7241_raw.txt.gz	yhr192w	ref
GSM1106993_7149_raw.txt.gz	yim1	ref
GSM1106992_1158_raw.txt.gz	ref	yhr202w
GSM1106995_7141_raw.txt.gz	ref	yjl049w
GSM1106994_7137_raw.txt.gz	yjl043w	ref
GSM1106997_8363_raw.txt.gz	ref	yjr096w
GSM1106996_7139_raw.txt.gz	yjr030c	ref
GSM636399_2751_raw.txt.gz	esc8	ref
GSM636398_1648_raw.txt.gz	ref	ecm5
GSM636391_8473_raw.txt.gz	eaf5	ref
GSM636390_9593_raw.txt.gz	ref	eaf3
GSM636393_8426_raw.txt.gz	eaf6	ref
GSM636392_7725_raw.txt.gz	ref	eaf5
GSM636395_7710_raw.txt.gz	eaf7	ref
GSM636394_7590_raw.txt.gz	ref	eaf6
GSM636397_1643_raw.txt.gz	ecm5	ref
GSM636396_6637_raw.txt.gz	ref	eaf7
GSM1106191_7305_raw.txt.gz	bfa1	ref
GSM1106190_6623_raw.txt.gz	ref	bdf2
GSM1106193_3385_raw.txt.gz	blm10	ref
GSM1106192_7136_raw.txt.gz	bit61	ref
GSM1106195_10368_raw.txt.gz	ref	bmh2
GSM1106194_10355_raw.txt.gz	bmh2	ref
GSM1106197_11284_raw.txt.gz	ref	bna5
GSM1106196_11264_raw.txt.gz	bna5	ref
GSM1106199_5625_raw.txt.gz	ref	bsd2
GSM1106198_5619_raw.txt.gz	bsd2	ref
GSM1106650_8944_raw.txt.gz	ref	pmd1
GSM1106353_3051_raw.txt.gz	gap1	ref
GSM1106352_6301_raw.txt.gz	ref	gal4
GSM1106351_7880_raw.txt.gz	ref	gal3
GSM1106350_8207_raw.txt.gz	fyv6	ref
GSM1106357_6304_raw.txt.gz	gat3	ref
GSM1106356_6113_raw.txt.gz	ref	gat1
GSM1106355_6104_raw.txt.gz	gat1	ref
GSM1106354_3052_raw.txt.gz	ref	gap1
GSM1106656_4862_raw.txt.gz	ref	pom152
GSM1106359_7885_raw.txt.gz	ref	gat4
GSM1106358_8336_raw.txt.gz	ref	gat3
GSM1106657_8980_raw.txt.gz	pom34	ref
GSM1106654_7542_raw.txt.gz	pol4	ref
GSM1106655_4856_raw.txt.gz	pom152	ref
GSM819529_1776_raw.txt.gz	ref	gcr2
GSM819528_1770_raw.txt.gz	gcr2	ref
GSM630528.txt.gz	ref	ykl161c
GSM630529.txt.gz	ykl171w	ref
GSM630524.txt.gz	ref	ygr203w
GSM630525.txt.gz	yil042c	ref
GSM630526.txt.gz	ref	yil042c
GSM630527.txt.gz	ykl161c	ref
GSM630520.txt.gz	ref	ygk3
GSM819526_3053_raw.txt.gz	gal83	ref
GSM630522.txt.gz	ref	ygl059w
GSM819524_2861_raw.txt.gz	fbp1	ref
GSM636367_846_raw.txt.gz	cdc73	ref
GSM1107022_8966_raw.txt.gz	ylr455w	ref
GSM1107023_7911_raw.txt.gz	yme2	ref
GSM1107020_7653_raw.txt.gz	ylr445w	ref
GSM1107021_8965_raw.txt.gz	ylr455w	ref
GSM1107026_7868_raw.txt.gz	ref	yml082w
GSM1107027_8991_raw.txt.gz	yml082w	ref
GSM1107024_6305_raw.txt.gz	yml081w	ref
GSM1107025_8941_raw.txt.gz	ref	yml081w
GSM1107758_5592_raw.txt.gz	snf8	ref
GSM1107759_5598_raw.txt.gz	ref	snf8
GSM1107028_6869_raw.txt.gz	yml119w	ref
GSM1107029_7647_raw.txt.gz	ref	yml119w
GSM819630_10257_raw.txt.gz	sfl1	ref
GSM1107118_437_raw.txt.gz	atg10	ref
GSM1107119_441_raw.txt.gz	ref	atg10
GSM1107116_7678_raw.txt.gz	ask10	ref
GSM1107117_6686_raw.txt.gz	ref	ask10
GSM1107114_3019_raw.txt.gz	asi2	ref
GSM1107115_3025_raw.txt.gz	ref	asi2
GSM1107112_303_raw.txt.gz	ase1	ref
GSM1107113_309_raw.txt.gz	ref	ase1
GSM1107110_8215_raw.txt.gz	arx1	ref
GSM1107111_9501_raw.txt.gz	ref	arx1
GSM1107336_8950_raw.txt.gz	ref	hht1
GSM1107337_11597_raw.txt.gz	hmo1	ref
GSM1107334_8158_raw.txt.gz	ref	hhf1
GSM1107335_8135_raw.txt.gz	hht1	ref
GSM1107332_7613_raw.txt.gz	ref	hfm1
