Names	experiment Cy3	experiment Cy5
GSM1106848_9457_raw.txt.gz	ref	tea1
GSM1106629_9531_raw.txt.gz	pes4	ref
GSM1106628_7568_raw.txt.gz	ref	pep4
GSM1106627_6986_raw.txt.gz	ref	pdr8
GSM1106626_6448_raw.txt.gz	ref	pdr5
GSM1106625_6289_raw.txt.gz	ref	pdr1
GSM1106624_6279_raw.txt.gz	pdr1	ref
GSM1106623_11285_raw.txt.gz	ref	pct1
GSM1106622_11288_raw.txt.gz	pct1	ref
GSM1106621_6891_raw.txt.gz	ref	pcl9
GSM1106620_8961_raw.txt.gz	pcl5	ref
GSM1107646_10267_raw.txt.gz	ref	rim1
GSM1106939_6107_raw.txt.gz	yap5	ref
GSM1106938_6328_raw.txt.gz	yap3	ref
GSM1107647_9163_raw.txt.gz	rim101	ref
GSM1106933_6257_raw.txt.gz	wtm2	ref
GSM1106932_6266_raw.txt.gz	ref	wtm1
GSM1106931_6256_raw.txt.gz	wtm1	ref
GSM1106930_6647_raw.txt.gz	ref	war1
GSM1106937_6692_raw.txt.gz	yal044w	ref
GSM1106936_7023_raw.txt.gz	ref	yal027w
GSM1106935_6734_raw.txt.gz	xbp1	ref
GSM1106934_6267_raw.txt.gz	ref	wtm2
GSM1107645_10256_raw.txt.gz	rim1	ref
GSM1107642_7718_raw.txt.gz	ref	ric1
GSM1107643_7706_raw.txt.gz	rif1	ref
GSM1106713_7624_raw.txt.gz	rex3	ref
GSM1106712_7915_raw.txt.gz	ref	rex2
GSM1106711_8038_raw.txt.gz	ref	rev1
GSM1106710_8581_raw.txt.gz	ref	reh1
GSM1106717_8245_raw.txt.gz	rim4	ref
GSM1106716_6615_raw.txt.gz	ref	rif2
GSM1106715_6307_raw.txt.gz	rgm1	ref
GSM1106714_7467_raw.txt.gz	rex4	ref
GSM1106719_464_raw.txt.gz	ref	rkr1
GSM1106718_460_raw.txt.gz	rkr1	ref
GSM1107721_7571_raw.txt.gz	ref	sbp1
GSM1107720_8262_raw.txt.gz	sbp1	ref
GSM1107723_8494_raw.txt.gz	scs2	ref
GSM819633_5667_raw.txt.gz	ref	shr5
GSM819632_5666_raw.txt.gz	shr5	ref
GSM819631_10737_raw.txt.gz	ref	sfl1
GSM1107722_9120_raw.txt.gz	scp160	ref
GSM819637_1816_raw.txt.gz	ref	sip2
GSM819636_1813_raw.txt.gz	sip2	ref
GSM819635_1592_raw.txt.gz	ref	sip1
GSM819634_1587_raw.txt.gz	sip1	ref
GSM1107725_8478_raw.txt.gz	seh1	ref
GSM819545_1288_raw.txt.gz	gpr1	ref
GSM1107724_8026_raw.txt.gz	ref	scs2
GSM1107727_2958_raw.txt.gz	sem1	ref
GSM630148.txt.gz	ref	gin4
GSM630147.txt.gz	gin4	ref
GSM630144.txt.gz	ref	fus3
GSM1107726_8481_raw.txt.gz	ref	seh1
GSM630143.txt.gz	fus3	ref
GSM630140.txt.gz	ref	fmp48
GSM1107480_9016_raw.txt.gz	ref	nam7
GSM1107481_6392_raw.txt.gz	nbp2	ref
GSM1107927_9289_raw.txt.gz	vps1	ref
GSM1107482_6399_raw.txt.gz	ref	nbp2
GSM1106155_4056_raw.txt.gz	ref	asr1
GSM1106154_4050_raw.txt.gz	asr1	ref
GSM1106157_2986_raw.txt.gz	ref	atg12
GSM1106156_2980_raw.txt.gz	atg12	ref
GSM1106151_3018_raw.txt.gz	asi3	ref
GSM1106150_4007_raw.txt.gz	ref	asi1
GSM1106153_8544_raw.txt.gz	asm4	ref
GSM1106152_3024_raw.txt.gz	ref	asi3
GSM630270.txt.gz	ref	ptc4
GSM1106159_9689_raw.txt.gz	ref	atg13
GSM1106158_9677_raw.txt.gz	atg13	ref
GSM1107485_5608_raw.txt.gz	ncs2	ref
GSM1107486_5614_raw.txt.gz	ref	ncs2
GSM1107487_5582_raw.txt.gz	ncs6	ref
GSM1107152_1184_raw.txt.gz	ref	bul1
GSM1107153_8621_raw.txt.gz	ref	caf17
GSM1107150_6438_raw.txt.gz	ref	bud22
GSM1107151_1176_raw.txt.gz	bul1	ref
GSM1107156_6187_raw.txt.gz	ref	car2
GSM1107157_7680_raw.txt.gz	cbf1	ref
GSM1107154_7874_raw.txt.gz	caf17	ref
GSM1107155_6176_raw.txt.gz	car2	ref
GSM1107408_10388_raw.txt.gz	ref	lsm12
GSM1107409_9177_raw.txt.gz	lsm6	ref
GSM1107158_6724_raw.txt.gz	ref	cbf1
GSM1107159_8348_raw.txt.gz	ref	cce1
GSM819569_2661_raw.txt.gz	krh1	ref
GSM819568_5867_raw.txt.gz	ref	ira2
GSM819567_5866_raw.txt.gz	ira2	ref
GSM819566_2931_raw.txt.gz	ref	ira1
GSM819565_2914_raw.txt.gz	ira1	ref
GSM819564_2765_raw.txt.gz	ref	hxk2
GSM819563_2760_raw.txt.gz	hxk2	ref
GSM819562_3131_raw.txt.gz	ref	hxk1
GSM819561_3130_raw.txt.gz	hxk1	ref
GSM819560_1438_raw.txt.gz	ref	hsp12
GSM1107414_7878_raw.txt.gz	ref	ltv1
GSM1107714_227_raw.txt.gz	san1	ref
GSM1107715_232_raw.txt.gz	ref	san1
GSM1107716_4126_raw.txt.gz	sap155	ref
GSM1107717_4132_raw.txt.gz	ref	sap155
GSM1107710_11013_raw.txt.gz	ref	sam3
GSM1107711_11170_raw.txt.gz	sam3	ref
GSM1107712_10254_raw.txt.gz	sam4	ref
GSM1107713_10265_raw.txt.gz	ref	sam4
GSM1107718_3903_raw.txt.gz	sap190	ref
GSM1107719_3904_raw.txt.gz	ref	sap190
GSM1107413_8602_raw.txt.gz	ltv1	ref
GSM1107390_8896_raw.txt.gz	ref	kem1
GSM1107391_5943_raw.txt.gz	kti12	ref
GSM1107392_5950_raw.txt.gz	ref	kti12
GSM1107393_8800_raw.txt.gz	lea1	ref
GSM1107394_8236_raw.txt.gz	ref	lea1
GSM1107395_9454_raw.txt.gz	ref	lem3
GSM1107396_9055_raw.txt.gz	lem3	ref
GSM1107397_7676_raw.txt.gz	leu3	ref
GSM1107398_6341_raw.txt.gz	ref	leu3
GSM1107399_8615_raw.txt.gz	loc1	ref
GSM1107412_7941_raw.txt.gz	ref	lsm7
GSM1107579_7307_raw.txt.gz	pms1	ref
GSM1107570_8442_raw.txt.gz	ref	pif1
GSM1107571_8314_raw.txt.gz	pih1	ref
GSM1107572_9007_raw.txt.gz	ref	pih1
GSM1107573_8265_raw.txt.gz	ref	pin4
GSM1107574_8987_raw.txt.gz	pin4	ref
GSM1107575_4653_raw.txt.gz	plc1	ref
GSM1107576_4659_raw.txt.gz	ref	plc1
GSM1107577_5126_raw.txt.gz	pml39	ref
GSM1107378_6702_raw.txt.gz	ref	jjj1
GSM1107379_8605_raw.txt.gz	jnm1	ref
GSM1107372_8996_raw.txt.gz	ref	ist3
GSM1107373_448_raw.txt.gz	itt1	ref
GSM1107370_9714_raw.txt.gz	ref	irs4
GSM1107371_8208_raw.txt.gz	ist3	ref
GSM1107376_7689_raw.txt.gz	ref	ixr1
GSM1107377_7806_raw.txt.gz	jjj1	ref
GSM1107374_453_raw.txt.gz	ref	itt1
GSM1107375_6679_raw.txt.gz	ixr1	ref
GSM630219.txt.gz	pbs2	ref
GSM630212.txt.gz	ref	npr1
GSM630213.txt.gz	oca1	ref
GSM630210.txt.gz	ref	nem1
GSM630211.txt.gz	npr1	ref
GSM630216.txt.gz	ref	oca2
GSM630214.txt.gz	ref	oca1
GSM630215.txt.gz	oca2	ref
GSM1107410_9188_raw.txt.gz	ref	lsm6
GSM1107978_11263_raw.txt.gz	yil014c	ref
GSM1107979_11283_raw.txt.gz	ref	yil014c
GSM1107974_10427_raw.txt.gz	ref	yhr003c
GSM1107975_8994_raw.txt.gz	yhr033w	ref
GSM1107976_8567_raw.txt.gz	ref	yhr033w
GSM1107977_6928_raw.txt.gz	ref	yil001w
