	SystematicName	GeneSymbol
4068	YDL005C	MED2
4069	YPR161C	SGV1
4070	YMR016C	SOK2
4071	YCL032W	STE50
4072	YKR066C	CCP1
4073	YLR220W	CCC1
4074	YER092W	IES5
4075	YMR284W	YKU70
4076	YNL118C	DCP2
4077	YKR099W	BAS1
4078	YDR513W	TTR1
4079	YPL184C	YPL184C
4080	YBL107W-A	YBL107W-A
4081	YDR288W	NSE3
4082	YGR089W	NNF2
4083	YGR060W	ERG25
4084	YOR080W	DIA2
4085	YOR172W	YRM1
4086	YGR129W	SYF2
4087	YKL034W	TUL1
4088	YPL209C	IPL1
4089	YJL001W	PRE3
4090	YEL065W	SIT1
4091	YMR305C	SCW10
4092	YKL018C-A	YKL018C-A
4093	YGR271W	SLH1
4094	YPR032W	SRO7
4095	YFL042C	YFL042C
4096	YOL108C	INO4
4097	YJL012C-A	YJL012C-A
4098	YML078W	CPR3
4099	YBR081C	SPT7
4100	YPL260W	YPL260W
4101	YHL036W	MUP3
4102	YNL286W	CUS2
4103	YOR219C	STE13
4104	YGR267C	FOL2
4105	YLR422W	YLR422W
4106	YNL298W	CLA4
4107	YDR026C	YDR026C
4108	YLR044C	PDC1
4109	YJR151C	DAN4
4110	YDR195W	REF2
4111	YDR281C	PHM6
4112	YOL002C	IZH2
4113	YNL054W	VAC7
4114	YER185W	YER185W
4115	YJR161C	COS5
4116	YDR482C	CWC21
4117	YMR150C	IMP1
4118	YIL033C	BCY1
4119	YDR162C	NBP2
4120	YFR006W	YFR006W
4121	YGR149W	YGR149W
4122	YOR077W	RTS2
4123	YFL006W	YFL006W
4124	YMR021C	MAC1
4125	YLR369W	SSQ1
4126	YPR133C	IWS1
4127	YMR251W-A	HOR7
4128	YDR386W	MUS81
4129	YDL170W	UGA3
4130	YNL325C	FIG4
4131	YOR303W	CPA1
4132	YHR207C	SET5
4133	YFL065C	YFL065C
4134	YIL089W	YIL089W
4135	YGR098C	ESP1
4136	YER041W	YEN1
4137	YKR104W	
4138	YDR196C	YDR196C
4139	YDR457W	TOM1
4140	YJL068C	YJL068C
4141	YNR031C	SSK2
4142	YEL073C	YEL073C
4143	YGR180C	RNR4
4144	YDR129C	SAC6
4145	Q0070	AI5_ALPHA
4146	YPR164W	MMS1
4147	YPL045W	VPS16
4148	YMR154C	RIM13
4149	YOR371C	GPB1
4150	YMR314W	PRE5
4151	YOR279C	RFM1
4152	YBR006W	UGA2
4153	YPL065W	VPS28
4154	YDR497C	ITR1
4155	YKL189W	HYM1
4156	YGR178C	PBP1
4157	YLR250W	SSP120
4158	YOR137C	SIA1
4159	YBL021C	HAP3
4160	YOR195W	SLK19
4161	YJL159W	HSP150
4162	YGL136C	MRM2
4163	YLR408C	YLR408C
4164	YLR313C	SPH1
4165	YIL129C	TAO3
4166	YGL228W	SHE10
4167	YNL265C	IST1
4168	YKL121W	YKL121W
4169	YMR052W	FAR3
4170	YDL070W	BDF2
4171	YDR516C	EMI2
4172	YDR264C	AKR1
4173	YNR032C-A	HUB1
4174	YLR093C	NYV1
4175	YAL028W	FRT2
4176	YGR005C	TFG2
4177	YBR257W	POP4
4178	YML002W	YML002W
4179	YIR036C	YIR036C
4180	YOL128C	YGK3
4181	YHR004C	NEM1
4182	YCR088W	ABP1
4183	YJL219W	HXT9
4184	YML035C	AMD1
4185	YFR040W	SAP155
4186	YLR087C	CSF1
4187	YGL023C	PIB2
4188	YHR072W	ERG7
4189	YPL149W	ATG5
4190	YPR122W	AXL1
4191	YDR289C	RTT103
4192	YLR126C	YLR126C
4193	YGL114W	YGL114W
4194	Q0017	Q0017
4195	YNR010W	CSE2
4196	YFR004W	RPN11
4197	YJR089W	BIR1
4198	YOR035C	SHE4
4199	YLR144C	ACF2
4200	YKL136W	YKL136W
4201	YLR097C	HRT3
4202	YMR199W	CLN1
4203	YBR131W	CCZ1
4204	YPL152W	RRD2
4205	YDL247W-A	YDL247W-A
4206	YKL055C	OAR1
4207	YKL224C	YKL224C
4208	YDL171C	GLT1
4209	YNL053W	MSG5
4210	YNL128W	TEP1
4211	YEL066W	HPA3
4212	YBR140C	IRA1
4213	YDR283C	GCN2
4214	YOR022C	YOR022C
4215	YPR117W	YPR117W
4216	YER119C	AVT6
4217	YDR109C	YDR109C
4218	YDR334W	SWR1
4219	YLR323C	CWC24
4220	YHR107C	CDC12
4221	YOR283W	YOR283W
4222	YKR020W	VPS51
4223	YER153C	PET122
4224	YDR170C	SEC7
4225	YER175C	TMT1
4226	YHR186C	KOG1
4227	YDR229W	IVY1
4228	YMR226C	
4229	YOR163W	DDP1
4230	YKL157W	APE2
4231	YDR181C	SAS4
4232	YIL168W	YIL168W
4233	YLR398C	SKI2
4234	YKL222C	YKL222C
4235	YKR029C	SET3
4236	YIL062C	ARC15
4237	YBR111C	YSA1
4238	YIL071C	PCI8
4239	YMR238W	DFG5
4240	YOL101C	IZH4
4241	YGR213C	RTA1
4242	YDR351W	SBE2
4243	YPR002W	PDH1
4244	YAR030C	YAR030C
4245	Q0297	Q0297
4246	YHL010C	YHL010C
4247	YPR196W	YPR196W
4248	YJL013C	MAD3
4249	YOL038W	PRE6
4250	YJR059W	PTK2
4251	YPL020C	ULP1
4252	YNL218W	MGS1
4253	YFL016C	MDJ1
4254	YML070W	DAK1
4255	YBR085C-A	YBR085C-A
4256	YLR165C	PUS5
4257	YER098W	UBP9
4258	YIL143C	SSL2
4259	YLR117C	CLF1
4260	YGL008C	PMA1
4261	YER062C	HOR2
4262	YDR287W	YDR287W
4263	YOR196C	LIP5
4264	YHR009C	YHR009C
4265	YKR018C	YKR018C
4266	YHR001W	OSH7
4267	YIL167W	SDL1
4268	YBR148W	YSW1
4269	YJR039W	YJR039W
4270	YDR055W	PST1
4271	YOR380W	RDR1
4272	YBR039W	ATP3
4273	YDR128W	YDR128W
4274	YER116C	SLX8
4275	YHL034C	SBP1
4276	YDR534C	FIT1
4277	YJR160C	MPH3
4278	YBL112C	YBL112C
4279	YDR310C	SUM1
4280	YHR164C	DNA2
4281	YOL145C	CTR9
4282	YBR278W	DPB3
4283	YLR278C	YLR278C
4284	YMR253C	YMR253C
4285	YIL150C	MCM10
4286	YJL184W	GON7
4287	YJR078W	BNA2
4288	YPL268W	PLC1
4289	YFL060C	SNO3
4290	YPL219W	PCL8
4291	YJR121W	ATP2
4292	YGL154C	LYS5
4293	YOR152C	YOR152C
4294	YIL117C	PRM5
4295	YLR283W	YLR283W
4296	YAL068C	YAL068C
4297	YGR289C	MAL11
4298	YKR048C	NAP1
4299	YAR044W	YAR044W
4300	YDR381W	YRA1
4301	YPL170W	DAP1
4302	YGL063W	PUS2
4303	YJL056C	ZAP1
4304	YPL174C	NIP100
4305	YCR018C	SRD1
4306	YDR464W	SPP41
4307	YJR090C	GRR1
4308	YBR162W-A	YSY6
4309	YJR137C	ECM17
4310	YNL156C	YNL156C
4311	YPR086W	SUA7
4312	YOR244W	ESA1
4313	YGL103W	RPL28
4314	YDL086W	YDL086W
4315	YLR309C	IMH1
4316	YHR146W	CRP1
4317	YNL068C	FKH2
4318	YDR490C	PKH1
4319	YPR199C	ARR1
4320	YOR377W	ATF1
4321	YAL031C	YAL031C
4322	YDR145W	TAF12
4323	YOR304W	ISW2
4324	YBR275C	RIF1
4325	YOL006C	TOP1
4326	YDR270W	CCC2
4327	YOR302W	YOR302W
4328	YGL066W	SGF73
4329	YMR176W	ECM5
4330	YMR240C	CUS1
4331	YLR425W	TUS1
4332	YDL173W	YDL173W
4333	YOR327C	SNC2
4334	YLR396C	VPS33
4335	YJL019W	MPS3
4336	YMR197C	VTI1
4337	YOL026C	MIM1
4338	YKR017C	YKR017C
4339	YGR288W	MAL13
4340	YPR093C	ASR1
4341	YPL107W	YPL107W
4342	YGR281W	YOR1
4343	YPL057C	SUR1
4344	YML071C	COG8
4345	YOR251C	YOR251C
4346	YDR153C	ENT5
4347	YNR056C	BIO5
4348	YNL037C	IDH1
4349	YHR079C	IRE1
4350	YBL088C	TEL1
4351	YLR127C	APC2
4352	YNL253W	TEX1
4353	YKR097W	PCK1
4354	YCR104W	PAU3
4355	YKL135C	APL2
4356	YPR079W	MRL1
4357	YDL183C	YDL183C
4358	YBR136W	MEC1
4359	YBR112C	CYC8
4360	YPR095C	SYT1
4361	YCR009C	RVS161
4362	YNL234W	YNL234W
4363	YPL060W	LPE10
4364	YDR301W	CFT1
4365	YGL013C	PDR1
4366	YDR282C	YDR282C
4367	YKL048C	ELM1
4368	YGL163C	RAD54
4369	YIR018W	YAP5
4370	YLR310C	CDC25
4371	YMR207C	HFA1
4372	YNL294C	RIM21
4373	YPL179W	PPQ1
4374	YDL071C	YDL071C
4375	YGR141W	VPS62
4376	YKL198C	PTK1
4377	YBR103W	SIF2
4378	YOR328W	PDR10
4379	YCR036W	RBK1
4380	YFL056C	AAD6
4381	YNL271C	BNI1
4382	YJL206C	YJL206C
4383	YDL019C	OSH2
4384	YDR479C	PEX29
4385	YCR020C	PET18
4386	YLR286C	CTS1
4387	YJR110W	YMR1
4388	YOL024W	YOL024W
4389	YML120C	NDI1
4390	YML091C	RPM2
4391	YDR150W	NUM1
4392	YDR532C	YDR532C
4393	YBL001C	ECM15
4394	YMR316C-B	YMR316C-B
4395	YIR010W	DSN1
4396	YBR024W	SCO2
4397	YPR157W	YPR157W
4398	YKL134C	OCT1
4399	YLR024C	UBR2
4400	YOR023C	AHC1
4401	YLR037C	DAN2
4402	YBL054W	YBL054W
4403	YJR049C	UTR1
4404	YBR290W	BSD2
4405	YLR107W	REX3
4406	YLR166C	SEC10
4407	YER138W-A	YER138W-A
4408	YOR332W	VMA4
4409	YPL019C	VTC3
4410	YLR027C	AAT2
4411	YAL037W	YAL037W
4412	YKR096W	YKR096W
4413	YOR256C	YOR256C
4414	YKR021W	YKR021W
4415	YDR173C	ARG82
4416	YHR077C	NMD2
4417	YOR191W	RIS1
4418	YDR058C	TGL2
4419	YDR176W	NGG1
4420	YPR065W	ROX1
4421	YCL033C	YCL033C
4422	YOL117W	RRI2
4423	YOR141C	ARP8
4424	YOR147W	MDM32
4425	YHR104W	GRE3
4426	YKL062W	MSN4
4427	YKL178C	STE3
4428	YLR056W	ERG3
4429	YJR138W	IML1
4430	YDL028C	MPS1
4431	YLR151C	PCD1
4432	YBL096C	YBL096C
4433	YHR165C	PRP8
4434	YCR091W	KIN82
4435	YLR028C	ADE16
4436	YCR095C	YCR095C
4437	YER075C	PTP3
4438	YIL126W	STH1
4439	YPR188C	MLC2
4440	YMR170C	ALD2
4441	YDR168W	CDC37
4442	YIR005W	IST3
4443	YOR171C	LCB4
4444	YPL247C	YPL247C
4445	YER093C	TSC11
4446	YLR082C	SRL2
4447	YFL041W	FET5
4448	YJL154C	VPS35
4449	YIR041W	YIR041W
4450	YLR191W	PEX13
4451	YPL194W	DDC1
4452	YHL049C	YHL049C
4453	YLR006C	SSK1
4454	YOR324C	FRT1
4455	YGR274C	TAF1
4456	YHR075C	PPE1
4457	YLR035C	MLH2
4458	YDR406W	PDR15
4459	YEL058W	PCM1
4460	YLR219W	MSC3
4461	YFR024C	YFR024C
4462	YKL061W	YKL061W
4463	YPL106C	SSE1
4464	YOR245C	DGA1
4465	YBR296C	PHO89
4466	YLR304C	ACO1
4467	YPR203W	YPR203W
4468	YDR293C	SSD1
4469	YLR237W	THI7
4470	YBR231C	SWC5
4471	YBR101C	FES1
4472	YGL090W	LIF1
4473	YOL048C	YOL048C
4474	YEL059C-A	SOM1
4475	YLR375W	STP3
4476	YGR223C	HSV2
4477	YER001W	MNN1
4478	YNL008C	ASI3
4479	YPR193C	HPA2
4480	YFR024C-A	LSB3
4481	YNL334C	SNO2
4482	YOR194C	TOA1
4483	YOR031W	CRS5
4484	YKR068C	BET3
4485	YFL061W	YFL061W
4486	YAL055W	PEX22
4487	YBR052C	YBR052C
4488	YOR062C	YOR062C
4489	YGR100W	MDR1
4490	YHR080C	YHR080C
4491	YMR164C	MSS11
4492	YFR031C	SMC2
4493	YIL073C	SPO22
4494	YCR079W	YCR079W
4495	YHR082C	KSP1
4496	YOR192C	YOR192C
4497	YDR392W	SPT3
4498	YHR111W	UBA4
4499	YDR158W	HOM2
4500	YML109W	ZDS2
4501	YGR009C	SEC9
4502	YMR255W	GFD1
4503	YMR153C-A	YMR153C-A
4504	YBR222C	PCS60
4505	YKL201C	MNN4
4506	YKL196C	YKT6
4507	YLR411W	CTR3
4508	YJL166W	QCR8
4509	YJL199C	MBB1
4510	YGL168W	HUR1
4511	YHR088W	RPF1
4512	YEL046C	GLY1
4513	YKR093W	PTR2
4514	YER019C-A	SBH2
4515	YNL127W	FAR11
4516	YNR020C	YNR020C
4517	YPL088W	YPL088W
4518	YGL025C	PGD1
4519	YFL033C	RIM15
4520	YER184C	YER184C
4521	YLR451W	LEU3
4522	YPL282C	YPL282C
4523	YJR036C	HUL4
4524	YIL005W	EPS1
4525	YOR358W	HAP5
4526	YER189W	YER189W
4527	YOL087C	YOL087C
4528	YOR275C	RIM20
4529	YFR046C	CNN1
4530	YCL049C	YCL049C
4531	YCR073W-A	SOL2
4532	Q0085	ATP6
4533	YOR394W	YOR394W
4534	YDR397C	NCB2
4535	YNL140C	YNL140C
4536	YDL010W	YDL010W
4537	YLR231C	BNA5
4538	YLR352W	YLR352W
4539	YPL052W	OAZ1
4540	YER144C	UBP5
4541	YNL335W	YNL335W
4542	YNL134C	YNL134C
4543	YER124C	DSE1
4544	YDL057W	YDL057W
4545	YLL021W	SPA2
4546	YDR379W	RGA2
4547	YGR011W	YGR011W
4548	YOR337W	TEA1
4549	YKL161C	YKL161C
4550	YGR292W	MAL12
4551	YIL152W	YIL152W
4552	YMR185W	YMR185W
4553	YJL123C	YJL123C
4554	YIL082W-A	YIL082W-A
4555	YKR075C	YKR075C
4556	YKL076C	PSY1
4557	YAL053W	YAL053W
4558	YDR214W	AHA1
4559	YER178W	PDA1
4560	YBR225W	YBR225W
4561	YHR124W	NDT80
4562	YBR299W	MAL32
4563	YPL039W	YPL039W
4564	YML013W	SEL1
4565	YDL176W	YDL176W
4566	YJR130C	STR2
4567	YJR148W	BAT2
4568	YPL134C	ODC1
4569	YIL154C	IMP2'
4570	YER114C	BOI2
4571	YOR123C	LEO1
4572	YPR115W	YPR115W
4573	YMR153W	NUP53
4574	YNR059W	MNT4
4575	YOL051W	GAL11
4576	YCR073C	SSK22
4577	YNL224C	YNL224C
4578	YNL293W	MSB3
4579	YOL112W	MSB4
4580	YGR044C	RME1
4581	YBL099W	ATP1
4582	YDR476C	YDR476C
4583	YDR285W	ZIP1
4584	YDR247W	VHS1
4585	YPR179C	HDA3
4586	YER030W	YER030W
4587	YBR067C	TIP1
4588	YMR086W	YMR086W
4589	YDR224C	HTB1
4590	YPR023C	EAF3
4591	YDL022W	GPD1
4592	YPL089C	RLM1
4593	YJL171C	YJL171C
4594	YGL059W	YGL059W
4595	YLL053C	YLL053C
4596	YMR258C	YMR258C
4597	YDL007W	RPT2
4598	YOR003W	YSP3
4599	YKL013C	ARC19
4600	YFR008W	FAR7
4601	YPL181W	CTI6
4602	YBR094W	YBR094W
4603	YMR160W	YMR160W
4604	YGR239C	PEX21
4605	YER145C	FTR1
4606	YPL100W	ATG21
4607	YBR119W	MUD1
4608	YDR436W	PPZ2
4609	YML006C	GIS4
4610	YMR087W	YMR087W
4611	YNR002C	FUN34
4612	YEL075C	YEL075C
4613	YJL205C-A	NCE101
4614	YER014W	HEM14
4615	YOL018C	TLG2
4616	YFL008W	SMC1
4617	YHR023W	MYO1
4618	YGL093W	SPC105
4619	YLR190W	MMR1
4620	YGR086C	PIL1
4621	YAL047C	SPC72
4622	YJL140W	RPB4
4623	YLR298C	YHC1
4624	YFL024C	EPL1
4625	YDL035C	GPR1
4626	YEL032W	MCM3
4627	YMR026C	PEX12
4628	YLR251W	SYM1
4629	YBL007C	SLA1
4630	YML087C	YML087C
4631	YDL027C	YDL027C
4632	YJL005W	CYR1
4633	YCL039W	GID7
4634	YBL022C	PIM1
4635	YOR363C	PIP2
4636	YKR047W	YKR047W
4637	YPL164C	MLH3
4638	YLR034C	SMF3
4639	YDL206W	YDL206W
4640	YOL054W	YOL054W
4641	YDR032C	PST2
4642	YDR051C	YDR051C
4643	YDR423C	CAD1
4644	YAR035W	YAT1
4645	YPR111W	DBF20
4646	YLR454W	YLR454W
4647	YBL101C	ECM21
4648	YMR100W	MUB1
4649	YOR274W	MOD5
4650	YLR248W	RCK2
4651	YFL058W	THI5
4652	YEL012W	UBC8
4653	YMR172W	HOT1
4654	YFR022W	ROG3
4655	YGR246C	BRF1
4656	YMR252C	YMR252C
4657	YDR186C	YDR186C
4658	YMR265C	YMR265C
4659	YIL063C	YRB2
4660	YGL133W	ITC1
4661	YBR053C	YBR053C
4662	YNL285W	YNL285W
4663	YAR053W	YAR053W
4664	YKL197C	PEX1
4665	YLR025W	SNF7
4666	YAR027W	UIP3
4667	YOR344C	TYE7
4668	YPL004C	LSP1
4669	YLR164W	YLR164W
4670	YJL070C	YJL070C
4671	YHR195W	NVJ1
4672	YER079W	YER079W
4673	YNL136W	EAF7
4674	YDR208W	MSS4
4675	YBL029C-A	YBL029C-A
4676	YBL025W	RRN10
4677	YDR434W	GPI17
4678	YKR054C	DYN1
4679	YHR028C	DAP2
4680	YKR031C	SPO14
4681	YDR200C	VPS64
4682	YLR438C-A	LSM3
4683	YGR010W	NMA2
4684	YML106W	URA5
4685	YKL109W	HAP4
4686	YGL197W	MDS3
4687	YGR046W	YGR046W
4688	YLR135W	SLX4
4689	YOL058W	ARG1
4690	YKL050C	YKL050C
4691	YDR474C	YDR474C
4692	YOR382W	FIT2
4693	YDR383C	NKP1
4694	YPR080W	TEF1
4695	YOR186W	YOR186W
4696	YMR041C	YMR041C
4697	YML117W	NAB6
4698	YMR325W	YMR325W
4699	YDR330W	UBX5
4700	YDR421W	ARO80
4701	YHR184W	SSP1
4702	YDR222W	YDR222W
4703	YJL066C	MPM1
4704	YFL038C	YPT1
4705	YOR018W	ROD1
4706	YNL055C	POR1
4707	YDR096W	GIS1
4708	YDR088C	SLU7
4709	YDR466W	PKH3
4710	YGR042W	YGR042W
4711	YMR141C	YMR141C
4712	YER039C	HVG1
4713	YDR388W	RVS167
4714	YDR069C	DOA4
4715	YHR110W	ERP5
4716	YLR299W	ECM38
4717	YHL050C	YHL050C
4718	YHL002W	HSE1
4719	YLR004C	YLR004C
4720	YHR027C	RPN1
4721	YLR436C	ECM30
4722	YHR159W	YHR159W
4723	YML061C	PIF1
4724	YKR005C	YKR005C
4725	YBR182C	SMP1
4726	YOR064C	YNG1
4727	YPL155C	KIP2
4728	YKL043W	PHD1
4729	YPL232W	SSO1
4730	YAL032C	PRP45
4731	YHR171W	ATG7
4732	YIL101C	XBP1
4733	YMR095C	SNO1
4734	YNR018W	YNR018W
4735	YKL129C	MYO3
4736	YKL185W	ASH1
4737	YMR262W	YMR262W
4738	YNR058W	BIO3
4739	YDL207W	GLE1
4740	YOR230W	WTM1
4741	YPL150W	YPL150W
4742	YLL015W	BPT1
4743	YFL021W	GAT1
4744	YPL138C	SPP1
4745	YJR149W	YJR149W
4746	YGR067C	YGR067C
4747	YNL327W	EGT2
4748	YOR138C	YOR138C
4749	YPL084W	BRO1
4750	YGR196C	FYV8
4751	YKL203C	TOR2
4752	YFL018C	LPD1
4753	YPL101W	ELP4
4754	YBR287W	YBR287W
4755	YCR011C	ADP1
4756	YBR284W	YBR284W
4757	YKL020C	SPT23
4758	YDR104C	SPO71
4759	YDR357C	YDR357C
4760	YIL105C	SLM1
4761	YHR114W	BZZ1
4762	YKR039W	GAP1
4763	YPL082C	MOT1
4764	YDR006C	SOK1
4765	YOR290C	SNF2
4766	YDR391C	YDR391C
4767	YIL065C	FIS1
4768	YIR014W	YIR014W
4769	YLR001C	YLR001C
4770	YMR111C	YMR111C
4771	YJR019C	TES1
4772	YMR294W-A	YMR294W-A
4773	YOL063C	YOL063C
4774	YPR155C	NCA2
4775	YIL121W	QDR2
4776	YBR099C	YBR099C
4777	YBR035C	PDX3
4778	YGR092W	DBF2
