Names	experiment Cy3	experiment Cy5
GSE42215/GSM1035536_3339_raw.txt.gz	ref	wt
GSE42215/GSM1035537_3323_raw.txt.gz	wt	ref
GSE42215/GSM1035534_6173_raw.txt.gz	ref	wt
GSE42215/GSM1035535_3335_raw.txt.gz	wt	ref
GSE42215/GSM1035532_2727_raw.txt.gz	wt	ref
GSE42215/GSM1035533_6171_raw.txt.gz	wt	ref
GSE42215/GSM1035530_2152_raw.txt.gz	wt	ref
GSE42215/GSM1035531_2164_raw.txt.gz	ref	wt
GSE42215/GSM630433.txt.gz	wt	ref
GSE42215/GSM630430.txt.gz	ref	wt
GSE42215/GSM630436.txt.gz	ref	wt
GSE42215/GSM1035538_2630_raw.txt.gz	wt	ref
GSE42215/GSM1035539_4020_raw.txt.gz	ref	wt
GSE42215/GSM630422.txt.gz	ref	wt
GSE42215/GSM630479.txt.gz	wt	ref
GSE42215/GSM1035570_5112_raw.txt.gz	wt	ref
GSE42215/GSM630399.txt.gz	wt	ref
GSE42215/GSM819665_4654_raw.txt.gz	ref	wt
GSE42215/GSM819666_5234_raw.txt.gz	wt	ref
GSE42215/GSM630487.txt.gz	wt	ref
GSE42215/GSM819723_4043_raw.txt.gz	ref	wt
GSE42215/GSM819722_4038_raw.txt.gz	wt	ref
GSE42215/GSM630483.txt.gz	wt	ref
GSE42215/GSM630482.txt.gz	ref	wt
GSE42215/GSM630481.txt.gz	wt	ref
GSE42215/GSM819726_5656_raw.txt.gz	wt	ref
GSE42215/GSM819701_1448_raw.txt.gz	wt	ref
GSE42215/GSM1035525_537_raw.txt.gz	ref	wt
GSE42215/GSM1035524_531_raw.txt.gz	wt	ref
GSE42215/GSM1035527_1721_raw.txt.gz	ref	wt
GSE42215/GSM1035526_1719_raw.txt.gz	wt	ref
GSE42215/GSM1035521_4502_raw.txt.gz	ref	wt
GSE42215/GSM1035520_4488_raw.txt.gz	ref	wt
GSE42215/GSM1035523_525_raw.txt.gz	ref	wt
GSE42215/GSM1035522_523_raw.txt.gz	wt	ref
GSE42215/GSM630406.txt.gz	ref	wt
GSE42215/GSM630404.txt.gz	ref	wt
GSE42215/GSM1035529_1058_raw.txt.gz	wt	ref
GSE42215/GSM1035528_2314_raw.txt.gz	wt	ref
GSE42215/GSM630439.txt.gz	wt	ref
GSE42215/GSM1035518_4460_raw.txt.gz	wt	ref
GSE42215/GSM1035519_4462_raw.txt.gz	ref	wt
GSE42215/GSM819735_5571_raw.txt.gz	wt	ref
GSE42215/GSM1035510_4183_raw.txt.gz	wt	ref
GSE42215/GSM1035511_4189_raw.txt.gz	ref	wt
GSE42215/GSM1035512_4200_raw.txt.gz	ref	wt
GSE42215/GSM1035513_4299_raw.txt.gz	ref	wt
GSE42215/GSM1035514_5603_raw.txt.gz	wt	ref
GSE42215/GSM1035515_5609_raw.txt.gz	ref	wt
GSE42215/GSM1035516_5585_raw.txt.gz	ref	wt
GSE42215/GSM1035517_5627_raw.txt.gz	wt	ref
GSE42215/GSM630411.txt.gz	wt	ref
GSE42215/GSM630412.txt.gz	ref	wt
GSE42215/GSM630413.txt.gz	wt	ref
GSE42215/GSM630419.txt.gz	wt	ref
GSE42215/GSM630474.txt.gz	ref	wt
GSE42215/GSM819707_1584_raw.txt.gz	wt	ref
GSE42215/GSM819706_1676_raw.txt.gz	ref	wt
GSE42215/GSM819704_1579_raw.txt.gz	ref	wt
GSE42215/GSM1035509_4066_raw.txt.gz	ref	wt
GSE42215/GSM1035508_4048_raw.txt.gz	wt	ref
GSE42215/GSM1035507_4032_raw.txt.gz	ref	wt
GSE42215/GSM1035506_4006_raw.txt.gz	ref	wt
